app_id,name,genre,developer,price_usd,faixa_preco,approval_rate,avg_playtime_h,total_reviews,ivs,ivs_score,tags
615610,Orbt XL,Casual,Adamvision Studios,0.99,Ate R$15,0.9673493618284358,0.0,3369,3.4469,46.2,
588430,Fallout Shelter,Simulation,Bethesda Game Studios,0.0,Gratuito,0.884469696969697,0.0,74448,3.4472,46.2,
1080110,F1 2020,Sports,Codemasters,0.0,Gratuito,0.9360051874205053,0.0,40097,3.4468,46.2,
489520,Minion Masters,Indie,BetaDwarf,0.0,Gratuito,0.8952777135813882,0.0,64905,3.4467,46.2,
367570,oO,Indie,Maciej Targoni,0.77,Ate R$15,0.8876170655567117,0.0,961,3.4389,46.1,
363970,Clicker Heroes,Casual,Playsaurus,0.0,Gratuito,0.8969887772412893,0.0,61304,3.4355,46.1,
1597730,Dogs Organized Neatly,Casual,DU&I,0.89,Ate R$15,0.982101167315175,0.0,1285,3.431,46.0,
1919460,Seraph's Last Stand,Casual,Sad Socket,0.99,Ate R$15,0.9380767362797474,0.0,4118,3.4252,45.9,
485610,Soccer Online: Ball 3D,Sports,Unusualsoft,0.99,Ate R$15,0.8461995837875335,0.0,10091,3.4224,45.9,
878750,Hentai Girl,Casual,GirlGames,0.99,Ate R$15,0.9119718309859155,0.0,5112,3.4164,45.8,
1093910,Tales of the Black Forest,Indie,拾英工作室,1.19,Ate R$15,0.9774861977486198,0.0,13947,3.4044,45.7,
1721470,Poppy Playtime,Indie,Mob Entertainment,0.0,Gratuito,0.8503649635036497,0.0,98914,3.3982,45.6,
1335230,Sumire,Casual,GameTomo Team,0.83,Ate R$15,0.9634433962264151,0.0,848,3.3998,45.6,
603260,The Cat Games,Casual,M. Hanka,0.79,Ate R$15,0.8939393939393939,0.0,990,3.3903,45.5,
104900,ORION: Prelude,Indie,DANKIE,0.99,Ate R$15,0.7533087589959628,0.0,28485,3.3896,45.5,
