country,total_jogos,aprovacao,ivs_medio
Hong Kong,9,0.7883622867313258,0.2889111111111111
Uruguay,8,0.8581436887417638,0.228075
Malaysia,8,0.8071649584586971,0.2823375
http://www.wikidata.org/.well-known/genid/6aa686820f4d8e45dda42ad83f12a0bc,7,0.7946522963934884,1.0866285714285715
Peru,7,0.7417543713790982,0.4661142857142857
Kazakhstan,7,0.8303620746017968,0.0699
Slovenia,6,0.9386978366992803,0.19788333333333333
Colombia,6,0.7542087542087542,0.053
http://www.wikidata.org/.well-known/genid/f4195dfccc8ca777378c1e0435e3d016,5,0.6396127681841968,0.28700000000000003
http://www.wikidata.org/.well-known/genid/8e02e6095149644fdb4319dbd77e520f,5,0.7534718314467055,0.841
http://www.wikidata.org/.well-known/genid/8992bf056495ee9af96509a53875af72,5,0.6846688930248298,0.25514000000000003
Ireland,5,0.8794401322927546,0.6626000000000001
http://www.wikidata.org/.well-known/genid/f813fb500ba53074646f70bceb9bc40f,4,0.8492576628352491,0.22242499999999998
Philippines,4,0.9019418786152924,0.191225
Malta,4,0.8810928678971537,0.172525
Belarus,4,0.7426364092403223,0.280325
http://www.wikidata.org/.well-known/genid/f9411268ab7d8d9e257fe6a729140359,3,0.9270645600140085,1.5508333333333333
http://www.wikidata.org/.well-known/genid/de6121e02cdf29bccce2e30b147ddd60,3,0.8844395919634351,0.21133333333333335
http://www.wikidata.org/.well-known/genid/d2996379f88c8f28d9e406612f408fdd,3,0.8356995219740319,0.10346666666666667
http://www.wikidata.org/.well-known/genid/a9e934d98abe225ebfc9d1b1d9d70560,3,0.9743971152963639,0.9408666666666669
http://www.wikidata.org/.well-known/genid/000b43cda6f4c90fa8d16e7b67931484,3,0.6015873015873016,0.22343333333333334
Saudi Arabia,3,0.6636566712350431,0.2675
http://www.wikidata.org/.well-known/genid/e7971ff08f404c15b7c00dec784e2054,2,0.44171122994652406,0.4656
http://www.wikidata.org/.well-known/genid/e6464a934d73808ec943685e1c3da197,2,0.936010686010686,0.13235
http://www.wikidata.org/.well-known/genid/e2a780ee5d1c17090e92a512fe543dd0,2,1.0,0.0509
http://www.wikidata.org/.well-known/genid/81576c777e05260a8edbc79624da5dd7,2,0.7040929203539823,0.1291
http://www.wikidata.org/.well-known/genid/27f39a4619e312c4f14417ae7bfd399e,2,0.875,0.0572
http://www.wikidata.org/.well-known/genid/1310958b1173bf06f4921622421f598a,2,0.7928412167542602,2.1550000000000002
Myanmar,2,0.5544260552687519,0.66925
Moldova,2,0.7368002990374731,0.3497
Latvia,2,0.7936115112908817,2.86815
Iceland,2,0.829333565887599,1.4653
Ecuador,2,0.7914438502673797,0.1138
http://www.wikidata.org/.well-known/genid/e1991f95cda9492766ff73da144e8c01,1,0.3920704845814978,0.5237
http://www.wikidata.org/.well-known/genid/dcc8fe8c5c5e61ea39efad79f062e1ac,1,0.4644808743169399,1.0183
http://www.wikidata.org/.well-known/genid/d0827d7b7454f73ee74bf41c04020b34,1,0.9426048565121413,0.0835
http://www.wikidata.org/.well-known/genid/b5de31b63dc947b04acb18c2b8deba66,1,0.7251119868797885,0.1338
http://www.wikidata.org/.well-known/genid/a3ec1928719f0154309363cc03e2f6ad,1,0.45161290322580644,0.2718
http://www.wikidata.org/.well-known/genid/a3081ca843e6f01e9b19bb1d29092d54,1,0.5,0.353
http://www.wikidata.org/.well-known/genid/99d8e754bbf441983d05a9b9f7b2706d,1,0.625,0.5065
http://www.wikidata.org/.well-known/genid/9391d49e4bc52f8f65c29596c48ed28b,1,0.9180327868852459,0.1647
http://www.wikidata.org/.well-known/genid/8e65dd6662e435ac1e2fccec526fbce1,1,0.7058823529411765,0.1479
http://www.wikidata.org/.well-known/genid/884d87c9be95b9b613d591532522b8b4,1,0.8055555555555556,0.0942
http://www.wikidata.org/.well-known/genid/7c678fc005ec90ae27543cdf851eb0c3,1,0.6916666666666667,0.5338
